source_file,source_sheet,source_row,ip_name,field_to_fix,current_value,proposed_value,fix_type,confidence,evidence_source,rationale,requires_human_approval,me_review_status,me_comments,approved_by,approved_date
unresolved_mapping_review.csv,unresolved,2,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,3,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,4,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,5,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,6,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,7,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,8,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,9,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,10,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,11,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,12,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,13,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,14,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,15,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,16,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,17,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,18,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,19,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,20,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,21,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,22,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,23,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,24,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,25,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
unresolved_mapping_review.csv,unresolved,26,Aasaman Nepal,activity_indicator_mapping,missing,needs clarification,activity_indicator_mapping,high,unresolved_mapping_review.csv,No matching entry in canonical crosswalk.,true,pending_review,,,
